DATE_STRIN,LATITUDE,LONGITUDE,PENUMBRAL,PARTIAL ECLIPSE,DURATION
1976/11/29,21N,122W,335.1,183.8,-
1977/5/26,20S,122W,253.2,-,-
1977/10/20,11N,74W,92,-,-
1977/11/18,18N,112E,205.9,-,-
1978/4/16,10S,3W,300.5,76.2,-
1978/10/9,7N,50E,272,128.1,-
1979/4/5,5S,8W,367.7,229.5,95.7
1979/9/29,2N,172W,331.3,214.8,96
1980/3/24,0S,82W,325.1,186.4,-
1980/9/17,3S,46E,329.1,180.3,-
1981/2/12,13N,123W,154,-,-
1981/3/13,5N,99E,192.7,-,-
1981/8/8,16S,101W,47.3,-,-
1981/9/7,8S,8E,191.3,-,-
1982/2/2,17N,5W,288.7,156.6,-
1982/7/28,19S,129W,310.4,138.2,-
1983/1/22,20N,155E,341.6,220.3,101.1
1983/7/17,22S,99E,335.7,219.5,101.8
1984/1/11,23N,57E,325,154.9,-
1984/7/6,24S,127W,281.1,149.5,-
1984/12/30,25N,54E,162.3,-,-
1985/5/27,20S,83E,237.6,-,-
1985/6/26,25S,26W,109.4,-,-
1985/11/20,19N,67W,292.1,103.9,-
1986/5/17,19S,96W,342.3,213.8,73.6
1986/11/9,17N,137E,327.8,212.1,93.5
1987/5/6,16S,166W,355.4,208.7,-
1987/10/30,14N,91W,301.2,182,-
1988/4/24,13S,173W,239.7,-,-
1988/9/19,3S,146W,85.1,-,-
1988/10/18,11N,40E,207.8,-,-
1989/3/15,3N,51W,288.9,126.2,-
1989/9/8,7S,99E,306,119.9,-
1990/3/4,7N,106E,321.7,212.1,98
1990/8/28,11S,82E,375.4,233.6,100.9
1991/2/22,10N,139W,292.7,167.9,-
1991/8/17,14S,72E,339.2,186.1,-
1992/1/13,23N,166W,150,-,-
1992/2/12,13N,2E,164.6,-,-
1992/7/7,24S,110E,171.7,-,-
1992/8/6,16S,32W,189.4,-,-
1993/1/1,24N,127E,325.5,145,-
1993/6/27,24S,133W,295.5,177.5,-
1993/12/21,24N,138E,377.4,233.6,102.2
1994/6/17,23S,29W,321.1,211.1,93.2
1994/12/10,23N,113E,334.2,184,-
1995/6/6,22S,133E,268.5,58.8,-
1995/10/31,15N,155E,88.2,-,-
1995/11/30,20N,19W,206.2,-,-
1996/4/26,14S,103W,285.9,-,-
1996/10/20,11N,80W,270.6,124,-
1997/4/15,9S,111W,363.9,225.3,86.1
1997/10/9,6N,62E,332.3,214.5,94.6
1998/4/4,5S,167E,328.2,194.4,-
1998/9/29,1N,73W,333.4,185.2,-
1999/2/23,9N,112E,142.5,-,-
1999/3/25,0N,21W,205.1,-,-
1999/9/18,4S,103W,207.3,-,-
0100/2/13,13N,132W,286.4,152.1,-
0100/8/7,16S,124E,300.6,116.5,-
0101/2/2,17N,31E,342.7,220.9,101.3
