DATE_STRIN,ECLIPSE_TYPE,MAGNITUD,LATITUDE,LONGITUDE,DURATION,EVENT
1950/11/3,P,0.3258,61.9S,87.6W,,solar_eclipse
1951/3/30,T,1.0609,39.8S,70.7W,04m21s,solar_eclipse
1951/9/23,A,0.9197,52.2N,36.3W,06m58s,solar_eclipse
1952/3/19,T,1.0609,3.7S,10.6E,05m02s,solar_eclipse
1952/9/11,Am,0.9588,13.4N,94.6W,04m20s,solar_eclipse
1953/3/9,H,1.0065,33.4N,136.3E,00m33s,solar_eclipse
1953/9/1,H2,1.0138,21.8S,122.6E,01m15s,solar_eclipse
1954/1/27,P,0.1898,62.6S,74.0E,,solar_eclipse
1954/2/26,P,0.122,61.2N,20.8W,,solar_eclipse
1954/7/23,P,0.4677,63.4N,175.7E,,solar_eclipse
1954/8/21,P,0.5296,61.6S,143.2W,,solar_eclipse
1955/1/16,A,0.9219,67.7S,12.1W,06m22s,solar_eclipse
1955/7/13,T,1.0475,57.0N,164.2E,03m23s,solar_eclipse
1956/1/5,Am,0.9669,26.1S,91.7W,03m39s,solar_eclipse
1956/7/1,A,0.9972,13.2N,27.3W,00m20s,solar_eclipse
1956/12/25,T,1.0163,15.9N,108.9E,01m40s,solar_eclipse
1957/6/20,As,0.9434,55.8S,101.3W,05m25s,solar_eclipse
1957/11/15,P,0.2463,69.3S,107.1W,,solar_eclipse
1957/12/14,P,0.4881,66.5N,117.6W,,solar_eclipse
1958/5/11,P,0.8176,69.7N,42.0W,,solar_eclipse
1958/11/5,A,0.9934,64.3S,177.8E,00m29s,solar_eclipse
1959/4/30,T,1.0191,29.8N,10.2W,01m50s,solar_eclipse
1959/10/25,A,0.9472,16.8S,90.0E,06m23s,solar_eclipse
1960/4/19,T,1.064,17.3S,151.7E,05m45s,solar_eclipse
1960/10/13,A,0.9196,28.9N,93.7E,09m47s,solar_eclipse
1961/3/10,P,0.3017,71.7N,60.3W,,solar_eclipse
1961/4/8,P,0.6431,71.5S,40.7W,,solar_eclipse
1961/10/2,P,0.4713,71.9N,163.5E,,solar_eclipse
1962/2/28,A,0.9874,34.1N,176.9E,01m14s,solar_eclipse
1962/8/23,T,1.028,38.5S,142.5E,02m24s,solar_eclipse
1963/2/17,A,0.9412,13.8S,115.9E,07m30s,solar_eclipse
